OPENADMET_CANONICAL_SMILES,PXR_pEC50,source,dataset,InChI
Cn1c(-c2ccc(-n3ccnc3S(C)(=O)=O)cc2Cl)nnc1C1(c2ccc(Cl)cc2)CCC1,5.1,ChEMBL,train,DZZBSMMXPNPOMM-UHFFFAOYSA-N
CCS(=O)(=O)c1ccccc1-c1ccc(-c2nnc(C3(c4ccc(Cl)cc4)CCC3)n2C)c(Cl)c1,6.16,ChEMBL,train,CTTCBVOJARTTMW-UHFFFAOYSA-N
CCS(=O)(=O)c1cccc(-c2ccc(-c3nnc(C4(c5ccc(Cl)cc5)CCC4)n3C)c(Cl)c2)c1,4.6,ChEMBL,train,MGHNCLCNTFQOTJ-UHFFFAOYSA-N
c1ccc(Nc2nc(-c3ccccn3)cs2)cc1,4.13,ChEMBL,train,VZHGZKUEVAANEJ-UHFFFAOYSA-N
CC(=O)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,4.13,ChEMBL,train,IIKSZRFVYVTNHL-UHFFFAOYSA-N
Clc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,6.0,ChEMBL,train,ZQWBOKJVVYNKTL-AUEPDCJTSA-N
COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,5.785,ChEMBL,train,FAIIFDPAEUKBEP-UHFFFAOYSA-N
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],5.0,ChEMBL,train,VKQFCGNPDRICFG-UHFFFAOYSA-N
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O,4.824999999999999,ChEMBL,train,NUBQKPWHXMGDLP-BDEHJDMKSA-N
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,4.5,ChEMBL,train,VWVSBHGCDBMOOT-IIEHVVJPSA-N
COCC(=O)Nc1cc(Sc2ccccc2)ccc1N=C(NC(=O)OC)NC(=O)OC,4.9,ChEMBL,train,HMCCXLBXIJMERM-UHFFFAOYSA-N
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,6.05,ChEMBL,train,CHNUNORXWHYHNE-UHFFFAOYSA-N
O=c1ccn2c(-c3ccc(F)cc3F)cccc2c1-c1c(F)cccc1F,5.48,ChEMBL,train,FMRNKJBMXLVUBM-UHFFFAOYSA-N
